latitude,longitude
29.08210684,73.7273276
29.859938,73.673635
29.84301,73.688201
29.845661,73.761024
29.787177,73.727601
29.819719,73.666865
29.791563,73.729317
29.848866,73.668191
29.859938,73.673635
29.873931,73.72103
29.84301,73.688201
29.845661,73.761024
29.787177,73.727601
29.994808,73.811536
29.791563,73.729317
29.8210684,73.7273276
19.00989,81.94225
29.7236303,73.8433766
29.7746,73.8566
10.96929,79.385643
10.7700535,79.41564
10.858903,79.478826
10.888702,79.393221
10.880219,79.613713
12.812885,79.094337
9.3044656,78.54408
20.26427408,81.49559926
20.03317954,80.62777387
11.544983,77.580857
11.503412,77.532567
11.1629,77.6018
27.215604,77.490145
11.54818,77.612631
11.030322,77.023219
10.6572737,77.0106693
26.50769,76.010177
11.289725,76.941483
10.3298,76.9578
10.9913,76.842
11.239862,76.988567
11.168077,76.82028
12.154444,78.301667
12.127355,77.97221
25.916749,73.603668
12.0111,78.4548
12.239766,78.008883
11.883349,78.585822
11.946592,77.834074
12.118312,77.778123
12.049005,78.676004
12.005075,78.533949
12.03096,78.396262
12.283255,78.22541
12.185597,78.113461
12.057338,78.111039
11.5668,76.6385
11.40798,76.699939
11.54645,76.682564
11.195212,76.859147
21.9881,83.1041
11.562727,76.7901
10.6648689,79.4507152
11.583668,76.334422
10.7098028,79.5192978
10.662879,79.445122
10.7098028,79.5192978
11.538793,76.613567
21.8907,83.4032
12.965178,80.128426
21.87422,83.41685
10.962712,76.954953
11.575377,76.355783
11.009678,76.944996
10.5926,78.1907
12.995343,79.082389
10.801,78.2
21.57216323,81.03111265
10.795405,78.246903
13.08884,79.431005
12.9023,79.3382
11.2323,77.1018
10.704646,78.20041
10.792118,78.202377
10.785982,78.281428
11.475137,77.578289
10.9211,77.3173
10.942147,77.438476
10.796368,78.24977
10.535008,76.99597
10.983705,77.442289
10.940182,77.441417
10.747781,78.224473
11.450614,77.681761
12.339934,78.278505
10.819628,78.2717
11.339511,77.7169
11.0231389,77.4235
11.5193352,76.481644
12.401442,78.173544
11.0252,77.1232
10.9833889,77.4188611
12.538048,78.172119
12.514937,78.271424
10.688821,78.19115
11.446974,77.683926
10.942147,77.438476
11.476713,76.3833327
10.942147,77.438476
12.8168473,77.6989492
12.546861,78.085161
11.0364722,77.3887778
12.692026,77.805277
10.647916,78.238003
12.463961,78.197641
11.007548,77.480038
12.3748,78.2594
10.5643,76.9198
11.368233,77.714008
12.397236,78.286766
12.528407,78.29484
11.702223,79.035483
10.605604,78.340401
11.405182,77.681463
12.5186113,78.2137364
11.356395,77.709703
11.928231,79.325602
11.364236,77.681209
11.326815,77.71171
10.797308,78.215215
11.713956,79.33221
10.624829,78.25583
11.794281,79.19708
11.624568,79.191683
10.597633,78.197765
22.46448163,83.20808011
12.061148,78.475372
10.885507,78.156443
10.792652,77.845938
12.129591,77.902363
0,0
10.707853,78.239783
11.848333,79.14771
10.732193,78.278936
11.974463,79.042626
12.214333,78.132023
10.724607,78.207025
11.893005,78.859848
11.0247473,76.8980371
11.918415,78.364843
28.36,76.38
11.757087,79.760034
11.969495,79.202986
11.066831,78.072325
12.122189,78.157252
28.36,76.39
11.767497,79.549828
26.9112,88.147817
11.027462,78.112967
12.8950813,79.072979
11.395203,79.699365
10.99985,78.117244
24.818605,87.670969
12.942237,79.183069
11.515631,79.317366
11.027596,78.063767
11.218859,76.88745
11.284465,79.552102
0,0
11.401305,79.122784
11.003313,78.152168
10.98325,78.118669
11.560902,79.597497
10.968212,78.160006
11.042075,78.113679
11.4903392,79.7548793
10.983617,78.075177
10.980871,78.146466
11.73729,78.95936
11.037452,78.05229
25.231516,73.538799
11.240984,78.866573
9.1674144,77.8767442
10.543917,77.059439
9.1478,77.9918
10.653294,77.0291
11.379712,78.788169
8.9094,78.0213
8.4433,77.9093
8.6288,77.9121
11.314634,79.064646
12.798085,79.402864
8.798356,78.136132
9.1291,78.1681
8.5677,78.1212
8.5,78.118
8.431,78.0325
11.658591,78.187482
9.174942,77.869399
11.4076892,76.70033
13.1274,79.9106
9.202765,77.944528
11.658342,78.145828
11.484914,76.338509
11.298202,78.82977
10.775962,79.602604
10.525131,79.636175
11.679717,78.158347
11.235194,78.883672
10.7713187,79.6369974
10.766001,79.637658
9.363748,78.831925
13.2777,79.4844
11.645946,78.153167
9.23475,78.786123
13.042911,79.700721
9.283054,79.310164
13.1735,79.6193
11.650693,78.172119
13.076421,79.670449
11.667549,78.178909
9.40126,78.355778
9.782783,78.919394
11.652167,78.146731
13.3322,80.1973
11.142177,79.069507
9.3662186,78.9498964
13.075239,79.655824
9.2783888,79.1343691
12.6950325,78.6218853
13.336891,79.446336
9.53710331,78.60305786
11.67283,78.11039
12.947428,78.875136
11.633363,78.151959
11.663978,78.19831
13.3326,79.8981
13.416363,80.129599
12.964118,78.813915
12.0899908,79.4458875
12.901929,78.834434
11.102,77.2739
12.9453,78.8709
11.101658,77.25083
12.61547,78.554728
11.081835,77.31332
12.524801,78.569979
11.093634,77.314781
10.860167,77.721741
11.063416,77.351137
13.4187,80.3179
9.2219,78.4965
11.1434,77.3087
11.204012,77.358321
12.401789,78.505408
11.145,77.319242
11.144115,77.317111
13.025275,79.201005
11.140059,77.371097
12.969428,79.137012
11.1085372,77.3410526
11.182964,77.369958
12.736082,78.674226
12.7903613,78.7166084
11.099227,77.391183
12.795568,78.724556
11.199393,77.264834
11.16381,77.308245
11.1099,77.3639
11.1085352,77.3410546
11.674878,78.133721
11.668879,78.105125
11.638801,78.155018
11.656517,78.132754
12.783569,78.721846
11.696059,78.141864
12.424168,78.622065
11.658333,78.187792
11.641005,78.140765
12.492635,78.564177
9.840237,77.381033
9.361973,78.834494
10.005595,77.351158
12.4962811,78.565139
9.364491,78.835788
9.3492958,78.5178096
11.08413,77.364675
10.007148,77.554305
9.999739,77.61823
9.3285873,77.8508377
9.98912,77.346218
11.1937,77.2688
10.73116,77.48768
11.005686,77.560118
10.5591,77.3628
10.962,77.1949
10.996076,77.280363
10.510166,77.203022
10.4665,77.1916
11.1729,77.4569
10.585118,77.245301
10.73552,77.526489
11.6161111,79.7421974
9.844866,77.385447
10.083804,77.249185
11.7482289,79.7481573
10.994185,77.282623
10.016621,77.352091
11.6161348,79.7422886
11.101979,79.64762
10.014512,77.477667
11.235717,79.735036
9.886826,77.473588
9.549214,77.942664
10.632287,79.720337
10.123192,77.533182
10.789226,77.362744
11.031247,79.848417
10.120352,77.548596
10.76515,79.742565
10.889103,77.389237
9.623937,77.815683
10.378047,79.852059
10.798784,77.513044
9.471875,77.838655
11.0722,79.5592
10.802001,77.301485
9.399492,77.492456
9.517591,77.730883
9.4383,77.5376
10.860019,77.386191
9.428575,77.799809
10.772844,79.839911
10.846251,77.363654
11.971402,79.838147
10.839147,77.531676
12.998316,80.097558
11.974602,79.840986
12.519468,79.770345
13.030502,80.109955
12.386354,78.409817
13.0208,80.1663
12.0226,79.7281
12.887338,80.021457
12.9544,80.043
12.68845,79.98227
12.340107,79.587017
12.251327,79.65353
11.42072,76.860352
11.9185,79.5755
11.209537,79.366282
10.803065,77.387782
12.804222,79.677132
12.829175,80.025277
13.010948,80.151691
10.257682,77.909224
12.974758,80.127861
10.28342,77.870193
9.561141,77.93614
13.022295,80.186292
12.935,80.126
10.303414,77.831351
9.615205,77.886066
13.092817,80.222135
13.022959,80.099583
10.363477,77.977019
10.162772,77.755365
10.20884,77.762792
10.237403,77.491575
10.279624,77.629419
10.308586,77.643482
12.04749,79.50906
12.04749,79.50906
10.225958,78.228413
10.173586,77.857618
11.94115,79.494777
10.484606,77.746485
10.456848,77.562452
10.449463,77.517486
10.528886,77.95489
12.525,78.215
12.657012,80.116194
12.266359,78.535451
13.035027,80.138355
13.021259,80.166868
12.961267,80.115179
